CIDADE,DT_ACESSO,DT_PREVISAO,HORARIO,TEMPERATURA
São Paulo,2022-08-28,2022-08-28,00:00:00,20
São Paulo,2022-08-28,2022-08-28,01:00:00,20
São Paulo,2022-08-28,2022-08-28,02:00:00,19
São Paulo,2022-08-28,2022-08-28,03:00:00,18
São Paulo,2022-08-28,2022-08-28,04:00:00,18
São Paulo,2022-08-28,2022-08-28,05:00:00,18
São Paulo,2022-08-28,2022-08-28,06:00:00,17
São Paulo,2022-08-28,2022-08-28,07:00:00,18
São Paulo,2022-08-28,2022-08-28,08:00:00,20
São Paulo,2022-08-28,2022-08-28,09:00:00,23
São Paulo,2022-08-28,2022-08-28,10:00:00,24
São Paulo,2022-08-28,2022-08-28,11:00:00,26
São Paulo,2022-08-28,2022-08-28,12:00:00,27
São Paulo,2022-08-28,2022-08-28,13:00:00,27
São Paulo,2022-08-28,2022-08-28,14:00:00,28
São Paulo,2022-08-28,2022-08-28,15:00:00,27
São Paulo,2022-08-28,2022-08-28,16:00:00,25
São Paulo,2022-08-28,2022-08-28,17:00:00,22
São Paulo,2022-08-28,2022-08-28,18:00:00,19
São Paulo,2022-08-28,2022-08-28,19:00:00,17
São Paulo,2022-08-28,2022-08-28,20:00:00,15
São Paulo,2022-08-28,2022-08-28,21:00:00,14
São Paulo,2022-08-28,2022-08-28,22:00:00,14
São Paulo,2022-08-28,2022-08-28,23:00:00,13
São Paulo,2022-08-28,2022-08-29,00:00:00,13
São Paulo,2022-08-28,2022-08-29,01:00:00,13
São Paulo,2022-08-28,2022-08-29,02:00:00,12
São Paulo,2022-08-28,2022-08-29,03:00:00,12
São Paulo,2022-08-28,2022-08-29,04:00:00,12
São Paulo,2022-08-28,2022-08-29,05:00:00,12
São Paulo,2022-08-28,2022-08-29,06:00:00,11
São Paulo,2022-08-28,2022-08-29,07:00:00,11
São Paulo,2022-08-28,2022-08-29,08:00:00,11
São Paulo,2022-08-28,2022-08-29,09:00:00,11
São Paulo,2022-08-28,2022-08-29,10:00:00,11
São Paulo,2022-08-28,2022-08-29,11:00:00,11
São Paulo,2022-08-28,2022-08-29,12:00:00,11
São Paulo,2022-08-28,2022-08-29,13:00:00,11
São Paulo,2022-08-28,2022-08-29,14:00:00,11
São Paulo,2022-08-28,2022-08-29,15:00:00,11
São Paulo,2022-08-28,2022-08-29,16:00:00,11
São Paulo,2022-08-28,2022-08-29,17:00:00,10
São Paulo,2022-08-28,2022-08-29,18:00:00,10
São Paulo,2022-08-28,2022-08-29,19:00:00,10
São Paulo,2022-08-28,2022-08-29,20:00:00,10
São Paulo,2022-08-28,2022-08-29,21:00:00,9
São Paulo,2022-08-28,2022-08-29,22:00:00,9
São Paulo,2022-08-28,2022-08-29,23:00:00,10
São Paulo,2022-08-28,2022-08-30,00:00:00,10
